sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
483802,1,229.49,218.57,10.91,0,20,785.8163673,606.4101796,351.3363273,595.6576846,1512.742515,1862.557884,1892.607784,2059.535928,718.5808383,283.8413174,7509.305942,3814.673831
483803,2,12.82,0,1.24,11.59,20,792.2413125,656.180373,383.4182207,735.3163151,1987.538367,2398.662183,2498.420666,2704.358402,1003.460919,391.3078569,7028.327389,3647.030573
483804,2,17.34,12.05,5.29,0,20,793.5811252,651.1383,375.6161843,667.5110069,1707.542907,2039.58938,1990.350183,2268.343865,831.7867917,341.3316347,7585.938053,4109.126422
483805,2,14.75,14.75,0,0,20,826.1805952,661.7373624,391.7328781,735.4280473,1792.368528,2136.695781,2057.574399,2381.046066,924.4462903,388.9904199,8743.193671,4787.251899
483806,2,14.57,14.57,0,0,20,818.2120289,700.5801077,412.6137356,763.0039622,2093.590674,2505.303261,2595.18917,2766.340851,1012.087677,404.2564259,8329.159013,3802.785758
483807,1,144.73,144.73,0,0,20,779.331,580.637,339.667,604.985,1408.958,1702.26,1598.818,1914.767,836.806,374.647,7054.041667,3508.145202
483808,1,114.56,111.93,1.36,1.26,20,785.1365462,574.8092369,343.5230924,542.1174699,1324.638554,1574.371486,1514.594378,1757.980924,654.5883534,262.6636546,7744.385563,4584.960095
483809,1,128.02,121.53,6.5,0,20,777.1958042,590.9220779,337.1088911,557.5834166,1449.728272,1753,1717.886114,1911.605395,658.9430569,261.6623377,6715.005051,4368.078283
483810,1,109.85,109.85,0,0,20,799.6596597,626.1371371,351.1501502,631.3403403,1617.241241,1914.782783,1884.554555,2129.072072,865.4544545,360.7477477,7396.744924,4699.870558
483811,2,14.25,14.25,0,0,20,837.2583698,712.8342322,462.235779,850.0212679,1877.651572,2202.880635,2120.848886,2429.511448,1231.671517,542.1658695,7541.229219,2915.187657
483812,1,180.48,179.63,0,0.85,20,815.2560241,657.1676707,379.8022088,653.9939759,1513.096386,1822.656627,1907.905622,1942.409639,873.4819277,362.1204819,6583.519087,3360.100788
483813,1,463.66,113.87,349.79,0,20,750.4895522,541.2497512,308.4169154,448.0945274,1131.756219,1338.840796,1409.225871,1432.412935,501.920398,210.1641791,6274.154534,3541.174968
483814,1,114.48,109.82,4.65,0,20,771.1158841,606.3016983,346.1228771,568.4645355,1498.476523,1837.211788,1840.130869,2002.022977,710.0939061,290.0529471,7183.370417,4668.960809
483815,2,41.84,41.14,0.7,0,20,822.8030935,676.5391269,441.6532004,733.0963672,1616.68668,1935.493945,1962.198433,2084.196601,948.8673044,448.9196092,7642.606557,3660.034048
483816,1,195.79,194.43,1.36,0,20,779.7074148,622.002004,360.0991984,574.2134269,1510.242485,1856.426854,1854.574148,2049.314629,714.4008016,306.3286573,7624.035623,3919.47201
483817,1,195.43,194.96,0.47,0,20,775.142,605.115,357.732,583.756,1459.858,1766.962,1739.915,1937.684,721.037,302.85,7006.60737,5050.574333
483818,1,195.46,195.46,0,0,20,774.006006,589.1121121,336.0690691,568.5495495,1445.570571,1801.474474,1684.145145,1942.918919,691.3693694,284.8018018,9406.845374,5482.850444
483819,1,192.23,192.23,0,0,20,806.7724551,670.3592814,413.7634731,704.1826347,1581.350299,1834.437126,1862.436128,2049.904192,966.0359281,442.3143713,6853.786885,3172.234552
483820,1,190.94,190.94,0,0,20,788.79801,630.0497512,369.9064677,651.9651741,1521.593035,1789.707463,1788.882587,2041.58607,832.681592,355.3552239,7933.815051,3336.75
483821,1,178.3,101.75,76.55,0,20,785.3496503,601.7222777,350.8321678,586.6273726,1506.217782,1807.021978,1746.330669,1975.001998,712.2857143,301.5384615,8685.71301,4369.672194
483822,2,17.83,16.63,1.21,0,20,819.9847716,681.4492386,427.0076142,779.7182741,1776.119289,2146.85533,2115.139594,2398.908629,1065.494924,535.4035533,6793.067374,4272.931817
483823,2,29.62,27.62,2.01,0,20,809.9783272,658.9088319,408.9973545,735,1794,2112,2010.499084,2304,920,414,8326.794969,3600.796226
483824,2,24.44,24.44,0,0,20,811.8158511,672.2581137,427.4814325,731.1311425,1660.70994,1980.084342,1894.035202,2179.551531,949.4470445,421.9084342,7516.647727,4192.794192
483825,2,31.75,31.47,0.28,0,20,810.1122449,647.6479592,393.8469388,728,1839,2164,2064.913265,2344,923,403,6400.829633,2517.062958
